Reporter Name	Partner Name	Year	Trade Flow	No Of exported HS6 digit Products	No Of imported HS6 digit Products	Export Share in Total Products (%)	Import Share in Total Products (%)	Trade Balance (US$ Thousand)	Export (US$ Thousand)	Import (US$ Thousand)	Import Partner Share (%)	Export Partner Share (%)	AHS Simple Average (%)	AHS Weighted Average (%)	AHS Total Tariff Lines	AHS Dutiable Tariff Lines Share (%)	AHS Duty Free Tariff Lines Share (%)	AHS Specific Tariff Lines Share (%)	AHS AVE Tariff Lines Share (%)	AHS MaxRate (%)	AHS MinRate (%)	AHS SpecificDuty Imports(US$ Thousand)	AHS Dutiable Imports (US$ Thousand)	AHS Duty Free Imports (US$ Thousand)	MFN Simple Average (%)	MFN Weighted Average (%)	MFN Total Tariff Lines	MFN Dutiable Tariff Lines Share (%)	MFN Duty Free Tariff Lines Share (%)	MFN Specific Tariff Lines Share (%)	MFN AVE Tariff Lines Share (%)	MFN MaxRate (%)	MFN MinRate (%)	MFN SpecificDuty Imports (US$ Thousand)	MFN Dutiable Imports (US$ Thousand)	MFN Duty Free Imports (US$ Thousand)	No Of Tariff Agreement
Germany	Aruba	2019	Exports & Imports	591	21	13.39	0.47	10077.51	10232.6	155.09	0	0	0	0	86	0	100	0	0	0	0	0	0	117.74	3.62	2.05	86	77.91	20.93	0	1.16	12	0	0	115.98	1.76	
Germany	Afghanistan	2019	Exports & Imports	713	162	16.16	3.6	52511.46	73657.98	21146.52	0	0	0.68	1.04	659	23.07	76.63	0	0.3	8.5	0	0	12207.95	8011.05	7.87	2.34	659	63.88	16.84	3.34	15.93	93.42	0	38.09	16218.86	4000.14	
Germany	Angola	2019	Exports & Imports	940	32	21.3	0.71	144640.05	146731.18	2091.12	0	0.01	0.77	0.3	137	64.23	35.77	0	0	4.2	0	0	171.25	907.62	1.15	0.43	137	65.69	34.31	0	0	12	0	0	182.36	896.51	
Germany	Anguila	2019	Exports & Imports	13	3	0.29	0.07	411.53	463.18	51.65	0	0	0	0	10	0	100	0	0	0	0	0	0	51.65	0.9	0.16	10	30	30	40	0	2.7	0	3.48	6.55	45.1	
Germany	Albania	2019	Exports & Imports	1814	388	41.11	8.63	130359.73	293848.44	163488.71	0.01	0.02	0	0	1464	0	100	0	0	0	0	0	0	158341.43	6.38	7.63	1464	74.66	17.21	1.57	6.56	52.82	0	92.78	149959.63	8381.8	
Germany	Andorra	2019	Exports & Imports	742	113	16.81	2.51	48618.53	50258.73	1640.2	0	0	0	0	431	0	100	0	0	0	0	0	0	1479.31	7.23	7.23	431	77.49	17.63	1.39	3.48	57.6	0	6.59	1334.56	144.75	
Germany	United Arab Emirates	2019	Exports & Imports	3214	1246	72.83	27.71	8746483.55	9948337.33	1201853.78	0.1	0.67	3.99	3.9	4902	71.18	20.81	1.57	6.45	74.9	0	890.33	978456.62	143939.46	3.99	3.9	4902	71.18	20.81	1.57	6.45	74.9	0	890.33	978456.62	143939.46	
Germany	Argentina	2019	Exports & Imports	2419	743	54.82	16.52	1494689.22	2714022.08	1219332.87	0.1	0.18	5.78	17.92	4122	58.78	17.32	2.5	21.4	152.39	0	53971.34	741270.53	461560.69	5.78	17.92	4122	58.78	17.32	2.5	21.4	152.39	0	53971.34	741270.53	461560.69	
Germany	Armenia	2019	Exports & Imports	1674	194	37.93	4.31	76869.07	205350.7	128481.63	0.01	0.01	0.56	0.02	1329	0	78.93	3.39	17.68	84.94	0	234.29	393.79	126871.16	6.87	5.3	1329	62.83	14.97	3.99	18.21	84.94	0	433.86	123095.25	4169.69	
Germany	American Samoa	2019	Exports & Imports	13	5	0.29	0.11	-103.49	24.03	127.52	0	0	2.82	4.45	10	90	10	0	0	4.7	0	0	126.54	0.97	2.82	4.45	10	90	10	0	0	4.7	0	0	126.54	0.97	
